name,path,description
AUDCAD,Forex\AUDCAD,Australian Dollar vs Canadian Dollar
AUDCHF,Forex\AUDCHF,Australian Dollar vs Swiss Franc
AUDJPY,Forex\AUDJPY,Australian Dollar vs Japanese Yen
AUDNZD,Forex\AUDNZD,Australian Dollar vs New Zealand Dollar
AUDUSD,Forex\AUDUSD,Australian Dollar vs US Dollar
CADCHF,Forex\CADCHF,Canadian Dollar vs Swiss Franc
CADJPY,Forex\CADJPY,Canadian Dollar vs Japanese Yen
CHFJPY,Forex\CHFJPY,Swiss Frank vs Japanese Yen
EURAUD,Forex\EURAUD,Euro vs Australian Dollar
EURCAD,Forex\EURCAD,Euro vs Canadian Dollar
EURCHF,Forex\EURCHF,Euro vs Swiss Franc
EURGBP,Forex\EURGBP,Euro vs Great Britain Pound
EURJPY,Forex\EURJPY,Euro vs Japanese Yen
EURMXN,Forex\EURMXN,Euro vs. Mexican Peso
EURNOK,Forex\EURNOK,Euro vs Norwegian Kroner
EURNZD,Forex\EURNZD,Euro vs New Zealand Dollar
EURSEK,Forex\EURSEK,Euro vs Swedish krona
EURTRY,Forex\EURTRY,Euro vs. Turkish Lira
EURUSD,Forex\EURUSD,Euro vs US Dollar
GBPAUD,Forex\GBPAUD,Great Britain Pound vs Australian Dollar
GBPCAD,Forex\GBPCAD,Great Britain Pound vs Canadian Dollar
GBPCHF,Forex\GBPCHF,Great Britain Pound vs Swiss Franc
GBPJPY,Forex\GBPJPY,British Pound vs Japanese Yen
GBPMXN,Forex\GBPMXN,British Pound vs. Mexican Peso
GBPNOK,Forex\GBPNOK,British Pound vs Norwegian Kroner
GBPNZD,Forex\GBPNZD,Great Britan Pound vs New Zealand Dollar
GBPSEK,Forex\GBPSEK,British Pound vs Swedish krona
GBPTRY,Forex\GBPTRY,British Pound vs. Turkish Lira
GBPUSD,Forex\GBPUSD,Great Britan Pound vs US Dollar
NZDCAD,Forex\NZDCAD,New Zealand Dollar vs Canadian Dollar
NZDCHF,Forex\NZDCHF,New Zealand Dollar vs Swiss Franc
NZDJPY,Forex\NZDJPY,New Zealand vs Japanise Yen
NZDUSD,Forex\NZDUSD,New Zealand Dollar vs US Dollar
USDCAD,Forex\USDCAD,US Dollar vs Canadian Dollar
USDCHF,Forex\USDCHF,US Dollar vs Swiss Franc
USDJPY,Forex\USDJPY,US Dollar vs Japanese Yen
USDMXN,Forex\USDMXN,US Dollar vs. Mexican Peso
USDNOK,Forex\USDNOK,US Dollar vs Norwegian Krone
USDSEK,Forex\USDSEK,US dollar vs Swedish krona
USDSGD,Forex\USDSGD,US Dollar vs Singapore Dollar
USDTRY,Forex\USDTRY,US Dollar vs. Turkish Lira
AUS200,Indices\Index 3\AUS200,Australian Stock Index
FCHI40,Indices\Index 3\FCHI40,France 40
GDAXI,Indices\Index DAX\GDAXI,Germany 40
FISV,Stocks\US\Nasdaq\FISV,Fiserv Inc
NDX,Indices\Index 3\NDX,US Tech 100
SPA35,Indices\Index DAX\SPA35,Spanish IBEX35 Index
AAL,Stocks\US\Nasdaq\AAL,American Airlines Group Inc
ACHC,Stocks\US\Nasdaq\ACHC,Acadia Healthcare Co Inc
ADBE,Stocks\US\Nasdaq\ADBE,Adobe Inc
ADI,Stocks\US\Nasdaq\ADI,Analog Devices Inc
ADP,Stocks\US\Nasdaq\ADP,Automatic Data Processing Inc
ADSK,Stocks\US\Nasdaq\ADSK,Autodesk Inc
AKAM,Stocks\US\Nasdaq\AKAM,Akamai Technologies Inc
ALGN,Stocks\US\Nasdaq\ALGN,Align Technology Inc
ALNY,Stocks\US\Nasdaq\ALNY,Alnylam Pharmaceuticals Inc
AMAT,Stocks\US\Nasdaq\AMAT,Applied Materials Inc
AMD,Stocks\US\Nasdaq\AMD,Advanced Micro Devices Inc
AMGN,Stocks\US\Nasdaq\AMGN,Amgen Inc
AMKR,Stocks\US\Nasdaq\AMKR,Amkor Technology Inc
AMZN,Stocks\US\Nasdaq\AMZN,Amazon.com Inc
APA,Stocks\US\Nasdaq\APA,APA Corp
APLS,Stocks\US\Nasdaq\APLS,Apellis Pharmaceuticals Inc
ARCC,Stocks\US\Nasdaq\ARCC,Ares Capital Corp
ARWR,Stocks\US\Nasdaq\ARWR,Arrowhead Pharmaceuticals Inc
AVGO,Stocks\US\Nasdaq\AVGO,Broadcom Inc
AXON,Stocks\US\Nasdaq\AXON,Axon Enterprise Inc
AZTA,Stocks\US\Nasdaq\AZTA,Azenta Inc
BIIB,Stocks\US\Nasdaq\BIIB,Biogen Inc
BKNG,Stocks\US\Nasdaq\BKNG,Booking Holdings Inc
BL,Stocks\US\Nasdaq\BL,Blackline Inc
BLDR,Stocks\US\Nasdaq\BLDR,Builders FirstSource Inc
BLK,Stocks\US\Nasdaq\BLK,BlackRock Inc
BMRN,Stocks\US\Nasdaq\BMRN,BioMarin Pharmaceutical Inc
BRKR,Stocks\US\Nasdaq\BRKR,Bruker Corp
CACC,Stocks\US\Nasdaq\CACC,Credit Acceptance Corp
CAR,Stocks\US\Nasdaq\CAR,Avis Budget Group Inc
CASY,Stocks\US\Nasdaq\CASY,Casey's General Stores Inc
CDNS,Stocks\US\Nasdaq\CDNS,Cadence Design Systems Inc
CDW,Stocks\US\Nasdaq\CDW,CDW Corp/DE
CG,Stocks\US\Nasdaq\CG,Carlyle Group Inc/The
CGNX,Stocks\US\Nasdaq\CGNX,Cognex Corp
CHDN,Stocks\US\Nasdaq\CHDN,Churchill Downs Inc
CHRW,Stocks\US\Nasdaq\CHRW,CH Robinson Worldwide Inc
CHTR,Stocks\US\Nasdaq\CHTR,Charter Communications Inc
CINF,Stocks\US\Nasdaq\CINF,Cincinnati Financial Corp
CMCSA,Stocks\US\Nasdaq\CMCSA,Comcast Corp
CME,Stocks\US\Nasdaq\CME,CME Group Inc
COLM,Stocks\US\Nasdaq\COLM,Columbia Sportswear Co
COST,Stocks\US\Nasdaq\COST,Costco Wholesale Corp
CPRT,Stocks\US\Nasdaq\CPRT,Copart Inc
CROX,Stocks\US\Nasdaq\CROX,Crocs Inc
CRWD,Stocks\US\Nasdaq\CRWD,Crowdstrike Holdings Inc
CSGP,Stocks\US\Nasdaq\CSGP,CoStar Group Inc
CSX,Stocks\US\NYSE\CSX,CSX Corp
CTAS,Stocks\US\Nasdaq\CTAS,Cintas Corp
CTSH,Stocks\US\Nasdaq\CTSH,Cognizant Technology Solutions
DBX,Stocks\US\Nasdaq\DBX,Dropbox Inc
DDOG,Stocks\US\Nasdaq\DDOG,Datadog Inc
DLTR,Stocks\US\Nasdaq\DLTR,Dollar Tree Inc
DNLI,Stocks\US\Nasdaq\DNLI,Denali Therapeutics Inc
DOCU,Stocks\US\Nasdaq\DOCU,DocuSign Inc
DOX,Stocks\US\Nasdaq\DOX,Amdocs Ltd
DXCM,Stocks\US\Nasdaq\DXCM,Dexcom Inc
EA,Stocks\US\Nasdaq\EA,Electronic Arts Inc
EBAY,Stocks\US\Nasdaq\EBAY,eBay Inc
EEFT,Stocks\US\Nasdaq\EEFT,Euronet Worldwide Inc
ENPH,Stocks\US\Nasdaq\ENPH,Enphase Energy Inc
ENTG,Stocks\US\Nasdaq\ENTG,Entegris Inc
ETSY,Stocks\US\NYSE\ETSY,Etsy Inc
EWBC,Stocks\US\Nasdaq\EWBC,East West Bancorp Inc
EXEL,Stocks\US\Nasdaq\EXEL,Exelixis Inc
A,Stocks\US\NYSE\A,Agilent Technologies Inc
AA,Stocks\US\NYSE\AA,Alcoa Corp
AAP,Stocks\US\NYSE\AAP,Advance Auto Parts Inc
ABBV,Stocks\US\NYSE\ABBV,AbbVie Inc
ABT,Stocks\US\NYSE\ABT,Abbott Laboratories
ACM,Stocks\US\NYSE\ACM,AECOM
ACN,Stocks\US\NYSE\ACN,Accenture Plc
ADM,Stocks\US\NYSE\ADM,Archer-Daniels-Midland Co
AEP,Stocks\US\NYSE\AEP,American Electric Power Co Inc
AES,Stocks\US\NYSE\AES,AES Corp/The
AFG,Stocks\US\NYSE\AFG,American Financial Group Inc/O
AFL,Stocks\US\NYSE\AFL,Aflac Inc
AGCO,Stocks\US\NYSE\AGCO,AGCO Corp
AIG,Stocks\US\NYSE\AIG,American International Group I
AIZ,Stocks\US\NYSE\AIZ,Assurant Inc
AJG,Stocks\US\NYSE\AJG,Arthur J Gallagher & Co
AL,Stocks\US\NYSE\AL,Air Lease Corp
ALB,Stocks\US\NYSE\ALB,Albemarle Corp
ALK,Stocks\US\NYSE\ALK,Alaska Air Group Inc
ALL,Stocks\US\NYSE\ALL,Allstate Corp/The
ALLY,Stocks\US\NYSE\ALLY,Ally Financial Inc
AME,Stocks\US\NYSE\AME,AMETEK Inc
AMG,Stocks\US\NYSE\AMG,Affiliated Managers Group Inc
AMP,Stocks\US\NYSE\AMP,Ameriprise Financial Inc
AMT,Stocks\US\NYSE\AMT,American Tower Corp
AN,Stocks\US\NYSE\AN,AutoNation Inc
ANET,Stocks\US\NYSE\ANET,Arista Networks Inc
AON,Stocks\US\NYSE\AON,Aon PLC
AOS,Stocks\US\NYSE\AOS,A O Smith Corp
APD,Stocks\US\NYSE\APD,Air Products and Chemicals Inc
APH,Stocks\US\NYSE\APH,Amphenol Corp
ARES,Stocks\US\NYSE\ARES,Ares Management Corp
ARMK,Stocks\US\NYSE\ARMK,Aramark
ARW,Stocks\US\NYSE\ARW,Arrow Electronics Inc
ASH,Stocks\US\NYSE\ASH,Ashland Inc
AVTR,Stocks\US\NYSE\AVTR,Avantor Inc
AVY,Stocks\US\NYSE\AVY,Avery Dennison Corp
AWI,Stocks\US\NYSE\AWI,Armstrong World Industries Inc
AWK,Stocks\US\NYSE\AWK,American Water Works Co Inc
AXTA,Stocks\US\NYSE\AXTA,Axalta Coating Systems Ltd
AYI,Stocks\US\NYSE\AYI,Acuity Inc
AZO,Stocks\US\NYSE\AZO,AutoZone Inc
BAC,Stocks\US\NYSE\BAC,Bank of America Corp
BAH,Stocks\US\NYSE\BAH,Booz Allen Hamilton Holding Co
BALL,Stocks\US\NYSE\BALL,Ball Corp
BAX,Stocks\US\NYSE\BAX,Baxter International Inc
BBY,Stocks\US\NYSE\BBY,Best Buy Co Inc
BC,Stocks\US\NYSE\BC,Brunswick Corp/DE
BDX,Stocks\US\NYSE\BDX,Becton Dickinson and Co
BEN,Stocks\US\NYSE\BEN,Franklin Resources Inc
BFAM,Stocks\US\NYSE\BFAM,Bright Horizons Family Solutio
BILL,Stocks\US\NYSE\BILL,Bill Holdings Inc
BIO,Stocks\US\NYSE\BIO,Bio-Rad Laboratories Inc
BJ,Stocks\US\NYSE\BJ,BJ's Wholesale Club Holdings I
BK,Stocks\US\NYSE\BK,Bank of New York Mellon Corp/T
BKR,Stocks\US\NYSE\BKR,Baker Hughes Co
BLD,Stocks\US\NYSE\BLD,TopBuild Corp
BMY,Stocks\US\NYSE\BMY,Bristol-Myers Squibb Co
BR,Stocks\US\NYSE\BR,Broadridge Financial Solutions
BRKb,Stocks\US\NYSE\BRKb,Berkshire Hathaway Inc. B
BRO,Stocks\US\NYSE\BRO,Brown & Brown Inc
BSX,Stocks\US\NYSE\BSX,Boston Scientific Corp
BURL,Stocks\US\NYSE\BURL,Burlington Stores Inc
BWA,Stocks\US\NYSE\BWA,BorgWarner Inc
BX,Stocks\US\NYSE\BX,Blackstone Group Inc/The
BYD,Stocks\US\NYSE\BYD,Boyd Gaming Corp
C,Stocks\US\NYSE\C,Citigroup Inc
CABO,Stocks\US\NYSE\CABO,Cable One Inc
CACI,Stocks\US\NYSE\CACI,CACI International Inc
CAG,Stocks\US\NYSE\CAG,Conagra Brands Inc
CAH,Stocks\US\NYSE\CAH,Cardinal Health Inc
CARR,Stocks\US\NYSE\CARR,Carrier Global Corp
CB,Stocks\US\NYSE\CB,Chubb Ltd
CBRE,Stocks\US\NYSE\CBRE,CBRE Group Inc
CC,Stocks\US\NYSE\CC,Chemours Co/The
CCI,Stocks\US\NYSE\CCI,Crown Castle Inc
CCK,Stocks\US\NYSE\CCK,Crown Holdings Inc
CCL,Stocks\US\NYSE\CCL,Carnival Corp
CE,Stocks\US\NYSE\CE,Celanese Corp
CF,Stocks\US\NYSE\CF,CF Industries Holdings Inc
CFG,Stocks\US\NYSE\CFG,Citizens Financial Group Inc
CFR,Stocks\US\NYSE\CFR,Cullen/Frost Bankers Inc
CHD,Stocks\US\NYSE\CHD,Church & Dwight Co Inc
CHE,Stocks\US\NYSE\CHE,Chemed Corp
CHWY,Stocks\US\NYSE\CHWY,Chewy Inc
CI,Stocks\US\NYSE\CI,Cigna Group
CIEN,Stocks\US\NYSE\CIEN,Ciena Corp
CL,Stocks\US\NYSE\CL,Colgate-Palmolive Co
CLF,Stocks\US\NYSE\CLF,Cleveland-Cliffs Inc
CLX,Stocks\US\NYSE\CLX,Clorox Co/The
CMG,Stocks\US\NYSE\CMG,Chipotle Mexican Grill Inc
CMI,Stocks\US\NYSE\CMI,Cummins Inc
CMS,Stocks\US\NYSE\CMS,CMS Energy Corp
CNC,Stocks\US\NYSE\CNC,Centene Corp
CNP,Stocks\US\NYSE\CNP,CenterPoint Energy Inc
COF,Stocks\US\NYSE\COF,Capital One Financial Corp
COHR,Stocks\US\NYSE\COHR,Coherent Inc
COO,Stocks\US\NYSE\COO,Cooper Cos Inc/The
COP,Stocks\US\NYSE\COP,ConocoPhillips
COR,Stocks\US\NYSE\COR,Cencora Inc
COTY,Stocks\US\NYSE\COTY,Coty Inc
CPAY,Stocks\US\NYSE\CPAY,Corpay Inc
CRL,Stocks\US\NYSE\CRL,Charles River Laboratories Int
CRM,Stocks\US\NYSE\CRM,salesforce.com Inc
CSL,Stocks\US\NYSE\CSL,Carlisle Cos Inc
CTVA,Stocks\US\NYSE\CTVA,Corteva Inc
CVNA,Stocks\US\NYSE\CVNA,Carvana Co
CVS,Stocks\US\NYSE\CVS,CVS Health Corp
D,Stocks\US\NYSE\D,Dominion Energy Inc
DAL,Stocks\US\NYSE\DAL,Delta Air Lines Inc
DAR,Stocks\US\NYSE\DAR,Darling Ingredients Inc
DD,Stocks\US\NYSE\DD,DuPont de Nemours Inc
DE,Stocks\US\NYSE\DE,Deere & Co
DECK,Stocks\US\NYSE\DECK,Deckers Outdoor Corp
DELL,Stocks\US\NYSE\DELL,Dell Technologies Inc
DG,Stocks\US\NYSE\DG,Dollar General Corp
DGX,Stocks\US\NYSE\DGX,Quest Diagnostics Inc
DHI,Stocks\US\NYSE\DHI,DR Horton Inc
DHR,Stocks\US\NYSE\DHR,Danaher Corp
DKS,Stocks\US\NYSE\DKS,Dick's Sporting Goods Inc
DLB,Stocks\US\NYSE\DLB,Dolby Laboratories Inc
DOV,Stocks\US\NYSE\DOV,Dover Corp
DPZ,Stocks\US\NYSE\DPZ,Domino's Pizza Inc
DRI,Stocks\US\NYSE\DRI,Darden Restaurants Inc
DT,Stocks\US\NYSE\DT,Dynatrace Inc
DTE,Stocks\US\NYSE\DTE,DTE Energy Co
DUK,Stocks\US\NYSE\DUK,Duke Energy Corp
DVA,Stocks\US\NYSE\DVA,DaVita Inc
DVN,Stocks\US\NYSE\DVN,Devon Energy Corp
DXC,Stocks\US\NYSE\DXC,DXC Technology Co
ECL,Stocks\US\NYSE\ECL,Ecolab Inc
EFX,Stocks\US\NYSE\EFX,Equifax Inc
EHC,Stocks\US\NYSE\EHC,Encompass Health Corp
EIX,Stocks\US\NYSE\EIX,Edison International
EL,Stocks\US\NYSE\EL,Estee Lauder Cos Inc/The
ELAN,Stocks\US\NYSE\ELAN,Elanco Animal Health Inc
ELV,Stocks\US\NYSE\ELV,Elevance Health Inc
EME,Stocks\US\NYSE\EME,EMCOR Group Inc
EMN,Stocks\US\NYSE\EMN,Eastman Chemical Co
EMR,Stocks\US\NYSE\EMR,Emerson Electric Co
ENOV,Stocks\US\NYSE\ENOV,Enovis Corp
EOG,Stocks\US\NYSE\EOG,EOG Resources Inc
EPAM,Stocks\US\NYSE\EPAM,EPAM Systems Inc
EQH,Stocks\US\NYSE\EQH,Equitable Holdings Inc
EQT,Stocks\US\NYSE\EQT,EQT Corp
ES,Stocks\US\NYSE\ES,Eversource Energy
ESI,Stocks\US\NYSE\ESI,Element Solutions Inc
ESNT,Stocks\US\NYSE\ESNT,Essent Group Ltd
ESTC,Stocks\US\NYSE\ESTC,Elastic NV
ETN,Stocks\US\NYSE\ETN,Eaton Corp PLC
ETR,Stocks\US\NYSE\ETR,Entergy Corp
EVR,Stocks\US\NYSE\EVR,Evercore Inc
EVRG,Stocks\US\NYSE\EVRG,Evergy Inc
EW,Stocks\US\NYSE\EW,Edwards Lifesciences Corp
EXC,Stocks\US\NYSE\EXC,Exelon Corp
EXP,Stocks\US\NYSE\EXP,Eagle Materials Inc
EXPD,Stocks\US\NYSE\EXPD,Expeditors International of Wa
EXPE,Stocks\US\Nasdaq\EXPE,Expedia Group Inc
FANG,Stocks\US\Nasdaq\FANG,Diamondback Energy Inc
FAST,Stocks\US\Nasdaq\FAST,Fastenal Co
FFIV,Stocks\US\Nasdaq\FFIV,F5 Networks Inc
NI225,Indices\Index 1\NI225,Japan Stock Index “Nikkei 225”
SP500,Indices\Index 2\SP500,SP500
STOXX50E,Indices\Index 3\STOXX50E,Europe 50
UK100,Indices\Index 3\UK100,London Stock Exchange Index“FTSE 100”
WS30,Indices\Index 1\WS30,Wall Street 30
XAUUSD,Commodities\Metals\XAUUSD,Gold vs US Dollar
XAGUSD,Commodities\Metals\XAGUSD,Silver Spot
F,Stocks\US\NYSE\F,Ford Motor Co
FAF,Stocks\US\NYSE\FAF,First American Financial Corp
FBIN,Stocks\US\NYSE\FBIN,Fortune Innovations Inc
FCX,Stocks\US\NYSE\FCX,Freeport-McMoRan Inc
FDS,Stocks\US\NYSE\FDS,FactSet Research Systems Inc
FDX,Stocks\US\NYSE\FDX,FedEx Corp
FE,Stocks\US\NYSE\FE,FirstEnergy Corp
FHN,Stocks\US\NYSE\FHN,First Horizon Corp
FICO,Stocks\US\NYSE\FICO,Fair Isaac Corp
FITB,Stocks\US\Nasdaq\FITB,Fifth Third Bancorp
FIVE,Stocks\US\Nasdaq\FIVE,Five Below Inc
FIVN,Stocks\US\Nasdaq\FIVN,Five9 Inc
FLEX,Stocks\US\Nasdaq\FLEX,Flex Ltd
FIS,Stocks\US\NYSE\FIS,Fidelity National Information
FLS,Stocks\US\NYSE\FLS,Flowserve Corp
FMC,Stocks\US\NYSE\FMC,FMC Corp
FND,Stocks\US\NYSE\FND,Floor & Decor Holdings Inc
FNF,Stocks\US\NYSE\FNF,Fidelity National Financial In
FOX,Stocks\US\Nasdaq\FOX,Twenty-First Century Fox Inc Class B
FOXA,Stocks\US\Nasdaq\FOXA,Fox Corp
FOXF,Stocks\US\Nasdaq\FOXF,Fox Factory Holding Corp
FRPT,Stocks\US\Nasdaq\FRPT,Freshpet Inc
FSLR,Stocks\US\Nasdaq\FSLR,First Solar Inc
FTNT,Stocks\US\Nasdaq\FTNT,Fortinet Inc
FTV,Stocks\US\NYSE\FTV,Fortive Corp
G,Stocks\US\NYSE\G,Genpact Ltd
GAP,Stocks\US\NYSE\GAP,Gap Inc/The
GD,Stocks\US\NYSE\GD,General Dynamics Corp
GDDY,Stocks\US\NYSE\GDDY,GoDaddy Inc
GGG,Stocks\US\NYSE\GGG,Graco Inc
GEN,Stocks\US\Nasdaq\GEN,Gen Digital Inc
GH,Stocks\US\Nasdaq\GH,Guardant Health Inc
GIS,Stocks\US\NYSE\GIS,General Mills Inc
GL,Stocks\US\NYSE\GL,Globe Life Inc
GLW,Stocks\US\NYSE\GLW,Corning Inc
GM,Stocks\US\NYSE\GM,General Motors Co
GMED,Stocks\US\NYSE\GMED,Globus Medical Inc
GNRC,Stocks\US\NYSE\GNRC,Generac Holdings Inc
GILD,Stocks\US\Nasdaq\GILD,Gilead Sciences Inc
GNTX,Stocks\US\Nasdaq\GNTX,Gentex Corp
GPC,Stocks\US\NYSE\GPC,Genuine Parts Co
GPK,Stocks\US\NYSE\GPK,Graphic Packaging Holding Co
GPN,Stocks\US\NYSE\GPN,Global Payments Inc
GOOG,Stocks\US\Nasdaq\GOOG,Alphabet Inc Class C
GOOGL,Stocks\US\Nasdaq\GOOGL,Alphabet Inc
GT,Stocks\US\NYSE\GT,Goodyear Tire & Rubber Co/The
GTLS,Stocks\US\NYSE\GTLS,Chart Industries Inc
GWRE,Stocks\US\NYSE\GWRE,Guidewire Software Inc
GWW,Stocks\US\NYSE\GWW,WW Grainger Inc
H,Stocks\US\NYSE\H,Hyatt Hotels Corp
HALO,Stocks\US\Nasdaq\HALO,Halozyme Therapeutics Inc
HAS,Stocks\US\Nasdaq\HAS,Hasbro Inc
HBAN,Stocks\US\Nasdaq\HBAN,Huntington Bancshares Inc/OH
HAL,Stocks\US\NYSE\HAL,Halliburton Co
HCA,Stocks\US\NYSE\HCA,HCA Healthcare Inc
HEI,Stocks\US\NYSE\HEI,HEICO Corp
HELE,Stocks\US\Nasdaq\HELE,Helen of Troy Ltd
HIG,Stocks\US\NYSE\HIG,Hartford Insurance Group Inc
HII,Stocks\US\NYSE\HII,Huntington Ingalls Industries
HLT,Stocks\US\NYSE\HLT,Hilton Worldwide Holdings Inc
HOG,Stocks\US\NYSE\HOG,Harley-Davidson Inc
HOLX,Stocks\US\Nasdaq\HOLX,Hologic Inc
HQY,Stocks\US\Nasdaq\HQY,HealthEquity Inc
HSIC,Stocks\US\Nasdaq\HSIC,Henry Schein Inc
HON,Stocks\US\Nasdaq\HON,Honeywell International Inc
HPE,Stocks\US\NYSE\HPE,Hewlett Packard Enterprise Co
HPQ,Stocks\US\NYSE\HPQ,HP Inc
HUBB,Stocks\US\NYSE\HUBB,Hubbell Inc
HUBS,Stocks\US\NYSE\HUBS,HubSpot Inc
HUM,Stocks\US\NYSE\HUM,Humana Inc
HUN,Stocks\US\NYSE\HUN,Huntsman Corp
HWM,Stocks\US\NYSE\HWM,Howmet Aerospace Inc
HXL,Stocks\US\NYSE\HXL,Hexcel Corp
IBKR,Stocks\US\Nasdaq\IBKR,Interactive Brokers Group Inc
IDXX,Stocks\US\Nasdaq\IDXX,IDEXX Laboratories Inc
ICE,Stocks\US\NYSE\ICE,Intercontinental Exchange Inc
IEX,Stocks\US\NYSE\IEX,IDEX Corp
IFF,Stocks\US\NYSE\IFF,International Flavors & Fragra
ILMN,Stocks\US\Nasdaq\ILMN,Illumina Inc
INCY,Stocks\US\Nasdaq\INCY,Incyte Corp
INGR,Stocks\US\NYSE\INGR,Ingredion Inc
INSP,Stocks\US\NYSE\INSP,Inspire Medical Systems Inc
INTU,Stocks\US\Nasdaq\INTU,Intuit Inc
IONS,Stocks\US\Nasdaq\IONS,Ionis Pharmaceuticals Inc
IP,Stocks\US\NYSE\IP,International Paper Co
IPGP,Stocks\US\Nasdaq\IPGP,IPG Photonics Corp
IQV,Stocks\US\NYSE\IQV,IQVIA Holdings Inc
IRDM,Stocks\US\Nasdaq\IRDM,Iridium Communications Inc
ISRG,Stocks\US\Nasdaq\ISRG,Intuitive Surgical Inc
JBHT,Stocks\US\Nasdaq\JBHT,JB Hunt Transport Services Inc
JKHY,Stocks\US\Nasdaq\JKHY,Jack Henry & Associates Inc
KHC,Stocks\US\Nasdaq\KHC,Kraft Heinz Co/The
KLAC,Stocks\US\Nasdaq\KLAC,KLA Corp
LITE,Stocks\US\Nasdaq\LITE,Lumentum Holdings Inc
LKQ,Stocks\US\Nasdaq\LKQ,LKQ Corp
LNT,Stocks\US\Nasdaq\LNT,Alliant Energy Corp
LPLA,Stocks\US\Nasdaq\LPLA,LPL Financial Holdings Inc
LRCX,Stocks\US\Nasdaq\LRCX,Lam Research Corp
LSCC,Stocks\US\Nasdaq\LSCC,Lattice Semiconductor Corp
LSTR,Stocks\US\Nasdaq\LSTR,Landstar System Inc
IR,Stocks\US\NYSE\IR,Ingersoll Rand Inc
IT,Stocks\US\NYSE\IT,Gartner Inc
ITT,Stocks\US\NYSE\ITT,ITT Inc
ITW,Stocks\US\NYSE\ITW,Illinois Tool Works Inc
IVZ,Stocks\US\NYSE\IVZ,Invesco Ltd
J,Stocks\US\NYSE\J,Jacobs Solutions Inc
JBL,Stocks\US\NYSE\JBL,Jabil Inc
JCI,Stocks\US\NYSE\JCI,Johnson Controls International
JEF,Stocks\US\NYSE\JEF,Jefferies Financial Group Inc
JLL,Stocks\US\NYSE\JLL,Jones Lang LaSalle Inc
KBR,Stocks\US\NYSE\KBR,KBR Inc
KDP,Stocks\US\NYSE\KDP,Keurig Dr Pepper Inc
KEY,Stocks\US\NYSE\KEY,KeyCorp
KEYS,Stocks\US\NYSE\KEYS,Keysight Technologies Inc
KKR,Stocks\US\NYSE\KKR,KKR & Co Inc
KMB,Stocks\US\NYSE\KMB,Kimberly-Clark Corp
KMI,Stocks\US\NYSE\KMI,Kinder Morgan Inc
KMX,Stocks\US\NYSE\KMX,CarMax Inc
KNX,Stocks\US\NYSE\KNX,Knight-Swift Transportation Ho
KR,Stocks\US\NYSE\KR,Kroger Co/The
KSS,Stocks\US\NYSE\KSS,Kohl's Corp
L,Stocks\US\NYSE\L,Loews Corp
LAD,Stocks\US\NYSE\LAD,Lithia Motors Inc
LDOS,Stocks\US\NYSE\LDOS,Leidos Holdings Inc
LEA,Stocks\US\NYSE\LEA,Lear Corp
LEG,Stocks\US\NYSE\LEG,Leggett & Platt Inc
LEN,Stocks\US\NYSE\LEN,Lennar Corp
LEVI,Stocks\US\NYSE\LEVI,Levi Strauss & Co
LH,Stocks\US\NYSE\LH,Labcorp Holdings Inc
LHX,Stocks\US\NYSE\LHX,L3Harris Technologies Inc
LII,Stocks\US\NYSE\LII,Lennox International Inc
LLY,Stocks\US\NYSE\LLY,Eli Lilly & Co
LMT,Stocks\US\NYSE\LMT,Lockheed Martin Corp
LNC,Stocks\US\NYSE\LNC,Lincoln National Corp
LOW,Stocks\US\NYSE\LOW,Lowe's Cos Inc
LPX,Stocks\US\NYSE\LPX,Louisiana-Pacific Corp
LUV,Stocks\US\NYSE\LUV,Southwest Airlines Co
LVS,Stocks\US\NYSE\LVS,Las Vegas Sands Corp
LW,Stocks\US\NYSE\LW,Lamb Weston Holdings Inc
LYFT,Stocks\US\Nasdaq\LYFT,Lyft Inc
LYB,Stocks\US\NYSE\LYB,LyondellBasell Industries NV
LYV,Stocks\US\NYSE\LYV,Live Nation Entertainment Inc
